Name;City;Region;Previous edition;Previous date;Previous year;Current status;Expected date;Expected year;Postponed;Cancelled editions;Website;Social media;Online
Hanami;Ludwigshafen;Rheinland-Pfalz;2019;4.05 – 5.05;2019;Canceled;8.05 – 9.05;2021;–;2020, 2021;http://www.hanami-ludwigshafen.de;–;Yes
AnimagiC;Mannheim;Baden-Württemberg;2019;2.08 – 4.08;2019;Canceled;30.07 – 1.08;2021;–;2020, 2021;https://animagic.de/;–;No
Wie.MAI.KAI;Flörsheim am Main;Hessen;2019;22.06 – 23.06;2019;Canceled;19.06 – 20.06;2021;Yes (2020: 13.06 – 14.06 → 7.11 – 8.11 → cancelled);2020, 2021;https://www.wiemaikai.de/;–;No
TiCon;Würzburg;Bayern;10;9.03 – 10.03;2019;Canceled;21.03 – 22.03;2020;–;2020;https://ticon-wuerzburg.de/;–;No
MiZacKo;Zwickau;Sachsen;2018 (4 Runde);13.05;2018;Canceled;27.06;2020;–;2020;http://zack.ev-in-sachsen.de/MiZacKo;–;No
J-Con;Merzig am Saar;Saarland;2018;20.10 – 21.10;2018;Not announced;none;none;–;–;https://www.j-con.saarland/;–;No
Japanisches Frühlingsfest;Augsburg;Bayern;14;12.05;2019;Canceled;10.05;2020;–;2020;http://www.augsburg.de/botanischergarten;–;No
Japantag Düsseldorf;Düsseldorf;Nordrhein-Westfalen;2019;25.05;2019;Canceled;29.05;2021;–;2020, 2021;http://www.japantag-duesseldorf-nrw.de/;–;No
Chisana;Schweinfurt;Bayern;2020;19.09 – 20.09;2020;Announced;18.09 – 19.09;2021;–;–;https://chisana.de/;https://www.facebook.com/Chisana.Schweinfurt/;No
Comicpark;Erfurt;Thüringen;2020;22.08 – 23.08;2020;Announced;14.08 – 15.08;2022;–;2021 (Bundesgartenschau);https://www.comicpark.de/;–;No
Main Matsuri;Frankfurt am Main;Hessen;2019;9.08 – 11.08;2019;Announced;20.08 – 22.08;2021;–;2020;https://www.main-matsuri.com;–;No
Contaku;Magdeburg;Sachsen-Anhalt;2019;10.08 – 11.08;2019;Announced;7.08;2021;–;2020;https://www.contaku.de;–;No
Japanfest München;München;Bayern;24;21.07;2019;Canceled;19.07;2020;–;2020;http://www.djg-muenchen.de/veranstaltungen/;–;No
NiSa-Con;Braunschweig;Niedersachsen;2019;13.07 – 14.07;2019;Canceled;18.07 – 19.07;2020;–;2020;https://nisa-con.de/;–;Yes
NonkiCon;Speyer;Rheinland-Pfalz;none;none;none;Announced;2.07 – 3.07;2022;–;2020, 2021;https://www.nonki-con.de/;–;No
Internationaler Comic-Salon;Erlangen;Bayern;18;31.05 – 3.06;2018;Announced;11.06 – 14.06;2022;–;2020/19;https://www.comic-salon.de/de;–;Yes
Franco;Bamberg;Bayern;2019;13.07 – 14.07;2019;Canceled;6.06 – 7.06;2020;–;2020, 2021;http://www.franco-bamberg.de;–;Yes
Nippon Connection;Frankfurt am Main;Hessen;2019;28.05 – 2.06;2019;Canceled;1.06 – 6.06;2021;–;2020, 2021;https://nipponconnection.com/de;–;Yes
Japan-Filmfest;Hamburg;Hamburg;20;22.05 – 26.05;2019;Not announced;none;none;–;2020, 2021;https://jffh.de/;–;Yes
Anime-Flohmarkt;Berlin;Berlin;2020;1.02;2020;Announced;29.01;2022;–;2021;https://www.anime-flohmarkt.de/;–;Yes
MACK-Weekend;Kempten;Bayern;2019;1.06 – 2.06;2019;Not announced;none;none;–;–;http://www.mack-world.org/weekend/;–;No
MAG;Erfurt;Thüringen;2019;4.10 – 6.10;2019;Canceled;2.10 – 4.10;2020;–;2020;https://mag-con.de/;–;Yes
V-Con;Villingen-Schwenningen;Baden-Württemberg;19.2;8.11 – 10.11;2019;Canceled;13.11 – 15.11;2020;Yes (20.1: 22.05 – 24.05 → cancelled);20.1, 20.2, 21.1;http://www.v-con.info/;–;No
Asia Arena;Oschersleben;Sachsen-Anhalt;2019;30.08 – 1.09;2019;Announced;September;2021;–;2020;www.asia-arena.de;–;No
COMICIADE;Aachen;Nordrhein-Westfalen;2018;14.04 – 15.04;2018;Canceled;25.04 – 26.04;2020;–;2020;https://comiciade.de/;–;No
MagicCon;Bonn;Nordrhein-Westfalen;3;26.04 – 28.04;2019;Announced;15.10 – 17.10;2021;Yes (4: 17.04.2020 – 19.04.2020 → 24.07.2020 – 26.07.2020 → 15.10.2021 – 17.10.2021);–;https://www.magiccon.de/;–;No
EpicCon;Münster;Nordrhein-Westfalen;2020;8.02 – 9.02;2020;Not announced;none;none;–;–;http://epiccon.de/;https://www.facebook.com/EpicCon.Germany/;No
Anime Messe Chemnitz;Chemnitz;Sachsen;3;11.01;2020;Canceled;16.01 – 17.01;2021;–;2021;https://www.animemesse-chemnitz.de/;–;No
Xmas Con;Coburg;Bayern;2019;30.11;2019;Announced;4.12;2021;–;2020;https://xmas-con.de/;–;No
Sakana Matsuri;Berlin;Berlin;2019;23.11;2019;Not announced;none;none;–;–;https://www.sakana-matsuri.de/;–;No
CosConNect;Reilingen;Baden-Württemberg;1.0;21.10;2018;Not announced;none;none;–;–;https://cosconnect.jimdosite.com/;https://www.facebook.com/cosconnectofficial/;No
ShiroCo;Zwickau;Sachsen;2019;21.09 – 22.09;2019;Not announced;none;none;–;–;https://www.shiroco-zwickau.de/;–;No
Anime Festival;Freiburg im Breisgau;Baden-Württemberg;2019;20.09 – 22.09;2019;Canceled;28.11 – 29.11;2020;–;2020;https://www.animefestival.de/;–;No
AniRo Con;Siegen;Nordrhein-Westfalen;2019;31.08;2019;Not announced;none;none;–;–;https://www.facebook.com/events/bluebox-siegen/aniro-con-siegen/2262151524007805/;–;No
SAMT XL;Siegen;Nordrhein-Westfalen;2019;13.07;2019;Not announced;none;none;–;–;http://samtxl.de/;https://www.facebook.com/SAMTSiegen/;No
FaRK;Schiffweiler;Saarland;2019;23.08 – 25.08;2019;Announced;26.08 – 28.08;2022;–;2021;https://fark-messe.de/;–;Yes
CoAket;Hamburg;Hamburg;4;22.02 – 23.02;2020;Not announced;none;none;–;–;https://coaket.com/;–;No
Festival Fantasia;Magdeburg;Sachsen-Anhalt;2019;6.07 – 8.07;2019;Not announced;none;none;–;–;https://www.festival-fantasia.de/;–;No
OtaCon;Nürnberg;Bayern;2019;23.11;2019;Not announced;none;none;–;–;https://www.facebook.com/OtaconNBG;–;No
Japanfieber Convention;Remagen;Rheinland-Pfalz;2019;19.01;2019;Not announced;none;none;–;–;https://arpmuseum.org/veranstaltungen/detail/japanfieber-convention-1024.html;–;No
Japantag Frankfurt;Frankfurt am Main;Hessen;2019;21.09;2019;Announced;18.09;2021;–;–;https://japantag.djg-frankfurt.de/;–;No
JapanFestival;Berlin;Berlin;2020;25.01 – 26.01;2020;Not announced;none;none;–;–;http://www.japanfestival.de/\;https://www.facebook.com/JapanFestivalBerlin;No
